cle,Name-Nom,Role-Rôle, Amount-Montant ,Fiscal_Year-Exercice_financier,Institution,Établissement,Province_ID,Province_EN,Province_FR,Competition_Year-Année_du_concours,Title-Titre,Keywords-Mots-clés,Program,Programme,Discipline_EN,Discipline_FR,Main_Discipline,Discipline_principale,Area_of_Research,Domaine_de_recherche
67431,"Matthews, Elise J.",Individual," $95,700 ",2019,University of Regina,University of Regina,SK,Saskatchewan,Saskatchewan,2019,Recognizing Resilience and Understanding Needs (RRUN): Family Experiences of Childhood Disability in First Nations Communities,community based; participatory; Indigenous; qualitative; ethnography; critical interpretation; needs assessment; environmental scan,Partnership Development Grants,Subventions de développement de partenariat,"Children, Family","Enfants, famille",Social Work,Travail social,Children,Enfance
67432,"Kucerova, Ivona",Individual," $95,810 ",2019,McMaster University,McMaster University,ON,Ontario,Ontario,2019,Transnational network for Indigenous language revitalization: building partnerships and capacity for community-based language programs,Indigenous languages; community-based language revitalization; linguistics; language-learning competencies; cognitively-appropriate language learning; community-based research; university-community research collaboration,Partnership Development Grants,Subventions de développement de partenariat,Linguistics,Linguistique,Linguistics,Linguistique,Indigenous peoples,Populations autochtones
67433,"Beckley, Thomas M.",Individual," $69,684 ",2019,University of New Brunswick,University of New Brunswick,NB,New Brunswick,Nouveau-Brunswick,2019,Partnership for Acadian Forest Restoration on Private Land in the Maritimes,Acadian Forest Restoration; climate smart forestry; carbon sequestration; rural community; support network; alternative forestry; cooperation,Partnership Development Grants,Subventions de développement de partenariat,Other Sociology,Sociologie (autres),Sociology,Sociologie,Environment and Sustainability,Environnement et développement durable
67434,"Cidro, Jaime",Individual," $30,860 ",2019,The University of Winnipeg,The University of Winnipeg,MB,Manitoba,Manitoba,2019,Building a Foundation for an Urban Indigenous Doula Project,birth sovereignty; Indigenous data self-determination; urban Indigenous people,Partnership Development Grants,Subventions de développement de partenariat,Medical Anthropology,Anthropologie médicale,Anthropology,Anthropologie,Indigenous peoples,Populations autochtones
67435,"Starblanket, Gina N.",Individual," $56,111 ",2019,University of Calgary,University of Calgary,AB,Alberta,Alberta,2019,The Prairie Indigenous Relationality Network,Indigenous politics; governance and political traditions; prairie political culture; knowledge transfer; traditions of relationality; kinship; women and gender,Partnership Development Grants,Subventions de développement de partenariat,Political Thought and Political Theory,Pensée et théories politiques,Political Science,Sciences politiques,Indigenous peoples,Populations autochtones
67436,"Adamowski, Jan F.",Individual," $65,285 ",2019,McGill University,Université McGill,QC,Quebec,Québec,2019,"#CitiSciWater - Exploring the potential of scalable, user-centric citizen science platforms and tools to co-create actionable knowledge and transform water governance",water governance; actionable knowledge co-creation; web based digital systems and tools; citizen science platforms and tools; decision making,Partnership Development Grants,Subventions de développement de partenariat,Other Environmental Studies,Études de l'environnement (autres),"Urban and Regional Studies, Environmental Studies","Urbanisme, aménagement régional et études environnementales",Environment and Sustainability,Environnement et développement durable
67437,"O'Campo, Patricia",Individual," $57,790 ",2019,Unity Health Toronto,Unity Health Toronto,ON,Ontario,Ontario,2019,Partnering for 'Safe at Home' Hamilton,intimate partner violence; implementation science; women; housing; partnership; criminal justice; intersectoral action; knowledge translation and exchange; evaluation; community engagement; children,Partnership Development Grants,Subventions de développement de partenariat,Housing,Logement,Social Work,Travail social,Housing,Logement
67438,"Tepperman, Charles E.",Individual," $95,726 ",2019,University of Calgary,University of Calgary,AB,Alberta,Alberta,2019,International Amateur Cinema Between the Wars (1919-1939): Amateur Movie Database Partnership Project,film history; amateur media; film preservation; digital humanities; transnational film culture,Partnership Development Grants,Subventions de développement de partenariat,"Cinema, Film Studies and Video","Cinéma, études cinématographiques et vidéo",Fine Arts,Beaux-arts,Arts and culture,Beaux-arts et culture
67439,"Lapierre, Simon",Individual," $44,776 ",2019,University of Ottawa,Université d'Ottawa,ON,Ontario,Ontario,2019,Parental alienation and domestic violence: International partnership for innovative strategies,parental alienation; domestic violence; child protection; child custody; family court,Partnership Development Grants,Subventions de développement de partenariat,"Children, Family","Enfants, famille",Social Work,Travail social,Family,Famille
67440,"Le Pichon, Emmanuelle",Individual," $70,720 ",2019,University of Toronto,University of Toronto,ON,Ontario,Ontario,2019,"Plurilingual pedagogies and digital technologies to support learning in science, technology, engineering and mathematics",plurilingual pedagogies; digital technologies; STEM teaching and learning,Partnership Development Grants,Subventions de développement de partenariat,"Bilingual Education, Second Language Education","Éducation bilingue, enseignement de la langue seconde",Education,Éducation,Education,Éducation
67441,"Bourque, Denis",Individual," $27,623 ",2019,Université du Québec en Outaouais,Université du Québec en Outaouais,QC,Quebec,Québec,2019,Transition socioécologique et lutte aux changements climatiques dans les démarches de développement territorial (TRANSDT),transition énergétique; action collective; développement des communautés; intervention collective,Partnership Development Grants,Subventions de développement de partenariat,Community Development,Développement communautaire,Social Work,Travail social,Social development and welfare,Développement social et bien-être
67442,"Dej, Erin",Individual," $37,768 ",2019,Wilfrid Laurier University,Wilfrid Laurier University,ON,Ontario,Ontario,2019,"From NIMBY to neighbour: Brokering a dialogue about homelessness among police, people experiencing homelessness and the community",homelessness; brokered dialogue; space; social exclusion; community resiliency,Partnership Development Grants,Subventions de développement de partenariat,Sociology,Sociologie,Sociology,Sociologie,Housing,Logement
67443,"Malti, Tina",Individual," $71,575 ",2019,University of Toronto,University of Toronto,ON,Ontario,Ontario,2019,Building Interconnectedness: Linking Social-Emotional Development Research to Practice,social emotional development; implementation science; professional training and development,Partnership Development Grants,Subventions de développement de partenariat,Psychology,Psychologie,Psychology,Psychologie,Mental Health,Santé mentale
67444,"Hall, Budd L.",Individual," $94,742 ",2019,University of Victoria,University of Victoria,BC,British Columbia,Colombie-Britannique,2019,Bridging Knowledge Cultures: The Knowledge for Change Global Consortium on Training of Community-Based Participatory Research,knowledge cultures; power inequalities; community-university research partnerships,Partnership Development Grants,Subventions de développement de partenariat,Higher Education,Enseignement supérieur,Education,Éducation,Post-Secondary Education and Research,Éducation et recherche postsecondaires
67445,"Chemin, Matthieu",Individual," $63,940 ",2019,McGill University,Université McGill,QC,Quebec,Québec,2019,"The Causal Effects of Judicial Efficiency on Economic Activity: Evidence From a Partnership Between McGill University, the World Bank, and the Kenyan Judiciary",rule of law; judicial efficiency; economic development; difference-in-differences; randomized experiments,Partnership Development Grants,Subventions de développement de partenariat,Law and Economics,Droit et économie,Economics,Science économique,Law and Justice,Droit et justice
